id,slug,title,brand_handle,brand_name,collection_handle,collection_title,collection_description,price,compare_at_price,deposit,stock,for_sale,for_rental,publish_state,sizes,description,created_at,popularity,image_files,image_alt_texts,media_paths,media_alt_texts,taxonomy_department,taxonomy_category,taxonomy_subcategory,taxonomy_color,taxonomy_material,taxonomy_fit,taxonomy_length,taxonomy_neckline,taxonomy_sleeve_length,taxonomy_pattern,taxonomy_occasion,taxonomy_size_class,taxonomy_strap_style,taxonomy_hardware_color,taxonomy_interior_color,taxonomy_closure_type,taxonomy_fits,taxonomy_metal,taxonomy_gemstone,taxonomy_jewelry_size,taxonomy_jewelry_style,taxonomy_jewelry_tier,details_model_height,details_model_size,details_fit_note,details_fabric_feel,details_care,details_dimensions,details_strap_drop,details_what_fits,details_interior,details_size_guide,details_warranty
draft-hermes-birkin-25-noir-togo,hermes-birkin-25-noir-togo,Hermès Birkin 25 Noir Togo,hermes,Hermès,birkin,Birkin,"Iconic structured top-handle bag in various sizes, leathers, and hardware finishes.",11500,11500,0,1,true,false,ready,25,"Hermès Birkin 25 in Noir Togo leather. 25 x 20 x 13 cm.

Iconic structured top-handle bag featuring a front flap with signature turn-lock closure, double rolled handles, and a clochette with padlock and keys. Interior lined in Chevre leather with one zipper pocket and one open pocket.",2026-02-20T10:00:00.000Z,100,/images/hermes/birkin-25-noir/1.jpg|/images/hermes/birkin-25-noir/2.jpg,Hermès Birkin 25 Noir Togo|Hermès Birkin 25 Noir Togo side view,,,women,bags,top-handle,Noir,Togo,,,,,,,,Double rolled top handles,Palladium,,Sangles with turn-lock,Phone|wallet|keys|small cosmetics pouch,,,,,,,,,,,25 x 20 x 13 cm,9 cm,Phone|wallet|keys|small cosmetics pouch,Chevre leather lining with one zipper pocket and one open pocket,,
draft-hermes-birkin-30-gold-togo,hermes-birkin-30-gold-togo,Hermès Birkin 30 Gold Togo,hermes,Hermès,birkin,Birkin,"Iconic structured top-handle bag in various sizes, leathers, and hardware finishes.",12800,12800,0,1,true,false,ready,30,"Hermès Birkin 30 in Gold Togo leather. 30 x 22 x 16 cm.

Iconic structured top-handle bag featuring a front flap with signature turn-lock closure, double rolled handles, and a clochette with padlock and keys. Interior lined in Chevre leather with one zipper pocket and one open pocket.",2026-01-15T10:00:00.000Z,90,/images/hermes/birkin-30-gold/1.jpg|/images/hermes/birkin-30-gold/2.jpg,Hermès Birkin 30 Gold Togo|Hermès Birkin 30 Gold Togo side view,,,women,bags,top-handle,Gold,Togo,,,,,,,,Double rolled top handles,Gold,,Sangles with turn-lock,iPad|A5 notebook|wallet|phone|cosmetics bag,,,,,,,,,,,30 x 22 x 16 cm,10 cm,iPad|A5 notebook|wallet|phone|cosmetics bag,Chevre leather lining with one zipper pocket and one open pocket,,
draft-hermes-birkin-35-etoupe-clemence,hermes-birkin-35-etoupe-clemence,Hermès Birkin 35 Etoupe Clemence,hermes,Hermès,birkin,Birkin,"Iconic structured top-handle bag in various sizes, leathers, and hardware finishes.",13200,13200,0,1,true,false,ready,35,"Hermès Birkin 35 in Etoupe Clemence leather. 35 x 25 x 18 cm.

Iconic structured top-handle bag featuring a front flap with signature turn-lock closure, double rolled handles, and a clochette with padlock and keys. Interior lined in Chevre leather with one zipper pocket and one open pocket.",2025-12-01T10:00:00.000Z,70,/images/hermes/birkin-35-etoupe/1.jpg|/images/hermes/birkin-35-etoupe/2.jpg,Hermès Birkin 35 Etoupe Clemence|Hermès Birkin 35 Etoupe Clemence side view,,,women,bags,top-handle,Etoupe,Clemence,,,,,,,,Double rolled top handles,Palladium,,Sangles with turn-lock,"13"" laptop|A4 documents|wallet|phone|cosmetics bag",,,,,,,,,,,35 x 25 x 18 cm,11 cm,"13"" laptop|A4 documents|wallet|phone|cosmetics bag",Chevre leather lining with one zipper pocket and one open pocket,,
draft-hermes-kelly-25-etoupe-epsom,hermes-kelly-25-etoupe-epsom,Hermès Kelly 25 Etoupe Epsom,hermes,Hermès,kelly,Kelly,Elegant trapezoidal bag with a single top handle and signature turn-lock closure.,10800,10800,0,1,true,false,ready,25,"Hermès Kelly 25 in Etoupe Epsom leather. 25 x 17 x 10 cm.

Elegant trapezoidal silhouette with a single top handle, signature turn-lock closure, and removable shoulder strap. Features a structured body, sangles closure, and interior with one zipper pocket and two open pockets.",2026-02-28T10:00:00.000Z,95,/images/hermes/kelly-25-etoupe/1.jpg|/images/hermes/kelly-25-etoupe/2.jpg,Hermès Kelly 25 Etoupe Epsom|Hermès Kelly 25 Etoupe Epsom side view,,,women,bags,top-handle,Etoupe,Epsom,,,,,,,,Single top handle with removable shoulder strap,Palladium,,Front flap with turn-lock,Phone|wallet|keys|small cosmetics pouch,,,,,,,,,,,25 x 17 x 10 cm,8 cm (handle) / 35 cm (strap),Phone|wallet|keys|small cosmetics pouch,Lined interior with one zipper pocket and two open pockets,,
draft-hermes-kelly-28-rose-sakura-swift,hermes-kelly-28-rose-sakura-swift,Hermès Kelly 28 Rose Sakura Swift,hermes,Hermès,kelly,Kelly,Elegant trapezoidal bag with a single top handle and signature turn-lock closure.,11200,11200,0,1,true,false,ready,28,"Hermès Kelly 28 in Rose Sakura Swift leather. 28 x 22 x 10 cm.

Elegant trapezoidal silhouette with a single top handle, signature turn-lock closure, and removable shoulder strap. Features a structured body, sangles closure, and interior with one zipper pocket and two open pockets.",2026-03-01T10:00:00.000Z,67,/images/hermes/kelly-28-rose-sakura/1.jpg|/images/hermes/kelly-28-rose-sakura/2.jpg,Hermès Kelly 28 Rose Sakura Swift|Hermès Kelly 28 Rose Sakura Swift side view,,,women,bags,top-handle,Rose Sakura,Swift,,,,,,,,Single top handle with removable shoulder strap,Gold,,Front flap with turn-lock,iPad mini|wallet|phone|sunglasses|cosmetics pouch,,,,,,,,,,,28 x 22 x 10 cm,9 cm (handle) / 37 cm (strap),iPad mini|wallet|phone|sunglasses|cosmetics pouch,Lined interior with one zipper pocket and two open pockets,,
draft-hermes-constance-18-noir-epsom,hermes-constance-18-noir-epsom,Hermès Constance 18 Noir Epsom,hermes,Hermès,constance,Constance,Compact crossbody bag with the signature oversized H-clasp buckle.,8900,8900,0,2,true,false,ready,18,"Hermès Constance 18 in Noir Epsom leather. 18 x 15 x 5 cm.

Compact crossbody bag defined by the signature oversized H-clasp closure. Features a sleek front flap, adjustable shoulder strap, and interior with multiple card slots and a flat pocket.",2026-02-10T10:00:00.000Z,80,/images/hermes/constance-18-noir/1.jpg|/images/hermes/constance-18-noir/2.jpg,Hermès Constance 18 Noir Epsom|Hermès Constance 18 Noir Epsom side view,,,women,bags,crossbody,Noir,Epsom,,,,,,,,Adjustable crossbody strap,Palladium,,H-buckle clasp,Phone|cards|keys|lipstick,,,,,,,,,,,18 x 15 x 5 cm,46 cm,Phone|cards|keys|lipstick,Multiple card slots and one flat pocket,,
draft-hermes-constance-24-bleu-nuit-swift,hermes-constance-24-bleu-nuit-swift,Hermès Constance 24 Bleu Nuit Swift,hermes,Hermès,constance,Constance,Compact crossbody bag with the signature oversized H-clasp buckle.,9500,9500,0,1,true,false,ready,24,"Hermès Constance 24 in Bleu Nuit Swift leather. 24 x 18 x 6 cm.

Compact crossbody bag defined by the signature oversized H-clasp closure. Features a sleek front flap, adjustable shoulder strap, and interior with multiple card slots and a flat pocket.",2025-11-20T10:00:00.000Z,64,/images/hermes/constance-24-bleu-nuit/1.jpg,Hermès Constance 24 Bleu Nuit Swift,,,women,bags,crossbody,Bleu Nuit,Swift,,,,,,,,Adjustable crossbody strap,Gold,,H-buckle clasp,Phone|wallet|keys|sunglasses|small cosmetics,,,,,,,,,,,24 x 18 x 6 cm,50 cm,Phone|wallet|keys|sunglasses|small cosmetics,Multiple card slots and one flat pocket,,
draft-hermes-picotin-lock-22-etoupe-clemence,hermes-picotin-lock-22-etoupe-clemence,Hermès Picotin Lock 22 Etoupe Clemence,hermes,Hermès,picotin,Picotin Lock,"Open-top bucket bag with a padlock accent, available in multiple sizes.",4200,4200,0,2,true,false,ready,22,"Hermès Picotin Lock 22 in Etoupe Clemence leather. 22 x 22 x 15 cm.

Open-top bucket bag with a distinctive padlock accent and double top handles. Features a spacious unlined interior, press-stud side closures, and a relaxed silhouette perfect for everyday use.",2026-03-02T10:00:00.000Z,50,/images/hermes/picotin-22-etoupe/1.jpg|/images/hermes/picotin-22-etoupe/2.jpg,Hermès Picotin Lock 22 Etoupe Clemence|Hermès Picotin Lock 22 Etoupe Clemence side view,,,women,bags,bucket,Etoupe,Clemence,,,,,,,,Double short top handles,Palladium,,Open top with turn-lock strap,Water bottle|wallet|phone|sunglasses|cosmetics bag,,,,,,,,,,,22 x 22 x 15 cm,13 cm,Water bottle|wallet|phone|sunglasses|cosmetics bag,Unlined interior with spacious open compartment,,
draft-hermes-evelyne-29-pm-gold-clemence,hermes-evelyne-29-pm-gold-clemence,Hermès Evelyne 29 PM Gold Clemence,hermes,Hermès,evelyne,Evelyne,Casual crossbody bag with a perforated H motif on the front panel.,4800,4800,0,1,true,false,ready,29 PM,"Hermès Evelyne 29 PM in Gold Clemence leather. 29 x 30 x 10 cm.

Casual crossbody bag with the iconic perforated H motif on the front panel. Features an adjustable canvas shoulder strap, rear open pocket, and a snap-button closure. Relaxed and effortless for daily wear.",2026-01-25T10:00:00.000Z,40,/images/hermes/evelyne-29-gold/1.jpg|/images/hermes/evelyne-29-gold/2.jpg,Hermès Evelyne 29 PM Gold Clemence|Hermès Evelyne 29 PM Gold Clemence side view,,,women,bags,crossbody,Gold,Clemence,,,,,,,,Adjustable canvas shoulder strap,Palladium,,Snap button,iPad|wallet|phone|sunglasses|cosmetics pouch,,,,,,,,,,,29 x 30 x 10 cm,52 cm,iPad|wallet|phone|sunglasses|cosmetics pouch,Rear open pocket with unlined canvas interior,,
draft-hermes-garden-party-36-etoupe-toile-h-canvas,hermes-garden-party-36-etoupe-toile-h-canvas,Hermès Garden Party 36 Etoupe Toile H Canvas,hermes,Hermès,garden-party,Garden Party,"Lightweight unstructured tote in canvas and leather, ideal for everyday use.",3800,3800,0,2,true,false,ready,36,"Hermès Garden Party 36 in Etoupe Toile H Canvas leather. 36 x 26 x 17 cm.

Lightweight unstructured tote combining Toile H canvas with leather trim. Features an open top, interior zipper pocket, and snap-button side gussets for adjustable width. A versatile everyday companion.",2025-10-15T10:00:00.000Z,35,/images/hermes/garden-party-36-etoupe/1.jpg|/images/hermes/garden-party-36-etoupe/2.jpg,Hermès Garden Party 36 Etoupe Toile H Canvas|Hermès Garden Party 36 Etoupe Toile H Canvas side view,,,women,bags,tote,Etoupe,Toile H Canvas,,,,,,,,Double flat top handles,Palladium,,Open top,"13"" laptop|A4 documents|wallet|phone|light jacket",,,,,,,,,,,36 x 26 x 17 cm,14 cm,"13"" laptop|A4 documents|wallet|phone|light jacket",Interior zipper pocket with cotton canvas lining,,
draft-hermes-bolide-27-noir-swift,hermes-bolide-27-noir-swift,Hermès Bolide 27 Noir Swift,hermes,Hermès,bolide,Bolide,Rounded zip-top bag — the first Hermès design to feature a zipper.,9200,9200,0,1,true,false,ready,27,"Hermès Bolide 27 in Noir Swift leather. 27 x 20 x 10 cm.

Rounded zip-top bag — the first Hermès design to feature a zipper. Features a curved silhouette, single top handle, removable shoulder strap, and a fully zipped closure. Interior with one zipper pocket and one open pocket.",2026-02-15T10:00:00.000Z,45,/images/hermes/bolide-27-noir/1.jpg|/images/hermes/bolide-27-noir/2.jpg,Hermès Bolide 27 Noir Swift|Hermès Bolide 27 Noir Swift side view,,,women,bags,top-handle,Noir,Swift,,,,,,,,Single top handle with removable shoulder strap,Palladium,,Zip top,Wallet|phone|sunglasses|cosmetics pouch,,,,,,,,,,,27 x 20 x 10 cm,9 cm (handle) / 40 cm (strap),Wallet|phone|sunglasses|cosmetics pouch,Lined interior with one zipper pocket and one open pocket,,
draft-hermes-lindy-26-craie-clemence,hermes-lindy-26-craie-clemence,Hermès Lindy 26 Craie Clemence,hermes,Hermès,lindy,Lindy,Dual-handle shoulder bag with a distinctive curved silhouette and zip closure.,9800,9800,0,1,true,false,ready,26,"Hermès Lindy 26 in Craie Clemence leather. 26 x 18 x 14 cm.

Dual-handle shoulder bag with a distinctive curved silhouette and top zip closure. Features two short handles for hand carry, a wide zip opening for easy access, and a relaxed, slouchy body. Interior with one zipper pocket.",2026-03-03T10:00:00.000Z,55,/images/hermes/lindy-26-craie/1.jpg|/images/hermes/lindy-26-craie/2.jpg,Hermès Lindy 26 Craie Clemence|Hermès Lindy 26 Craie Clemence side view,,,women,bags,shoulder,Craie,Clemence,,,,,,,,Dual short handles for hand and shoulder carry,Palladium,,Double zip,Wallet|phone|sunglasses|cosmetics pouch,,,,,,,,,,,26 x 18 x 14 cm,17 cm,Wallet|phone|sunglasses|cosmetics pouch,Lined interior with one zipper pocket,,
