Site,Linking pages,Target pages
yohomobile.com,156,4
paginebianche.it,150,3
wanderlog.com,81,3
skylarsrl.com,12,3
yoys.it,9,3
worldbesthostels.com,8,8
oltreleparoleblog.com,6,3
wikitravel.org,6,3
theculturetrip.com,4,4
cruisenonstop.com,3,3
dailyhive.com,3,3
elle.be,3,3
expatoftheworld.com,3,3
infohostels.com,3,3
italianfix.com,3,3
justdog.it,3,3
katierobynmorgan.com,3,3
lonelyplanet.de,3,3
naver.com,3,3
nextdoor.com,3,3
oneplanetnetwork.org,3,3
paginegialle.it,3,3
pixelboutique.it,3,3
portanapoli.de,3,3
postcard.inc,3,3
substack.com,3,3
thetravelingtwin.com,3,3
travelwithnat.co,3,3
virgilio.it,3,3
vivodeviajes.com,3,3
wordpress.com,3,3
localitybiz.it,2,2
lonelyplanet.com,2,2
twobluepassports.com,2,2